id,hotel_name,address,city,country,registration_date,latest_booking,total_bookings
1,Altenwerth-Wilderman,55 Buhler Place,São Paulo,BR,2021-01-01,2021-05-05,74
2,Mayer LLC,78279 Brown Crossing,Santos,BR,2021-01-01,2021-06-21,329
3,Durgan-Ullrich,5 Independence Place,Fortaleza,BR,2021-01-01,2021-02-24,352
4,Johnston-Osinski,8230 Warbler Plaza,Fortaleza,BR,2021-01-01,2021-08-23,572
5,"Simonis, Grimes and Okuneva",48 Dahle Terrace,Brasilia,BR,2021-01-01,2021-09-19,547
6,Koss and Sons,7486 Grover Road,Porto Alegre,BR,2021-01-02,2021-06-06,353
7,Nitzsche Inc,11432 Westport Center,Fortaleza,BR,2021-01-02,2021-08-25,585
8,Funk Group,2 Crescent Oaks Street,Rio de Janeiro,BR,2021-01-02,2021-06-27,70
9,Skiles-Feil,418 Luster Street,Brasilia,BR,2021-01-03,2021-09-07,570
10,Feeney-Tillman,42135 Di Loreto Crossing,Porto Alegre,BR,2021-01-03,2021-09-20,142
11,"Dickens, Ullrich and Stracke",1123 Arkansas Plaza,Rio de Janeiro,BR,2021-01-03,2021-02-27,676
12,Satterfield-Hand,461 Mesta Parkway,Florianópolis,BR,2021-01-04,2021-03-21,721
13,Smith-West,5 Logan Center,Porto Alegre,BR,2021-01-04,2021-07-25,214
14,Kihn-Harber,92261 Randy Road,Fortaleza,BR,2021-01-04,2021-11-01,549
15,Grady-Macejkovic,5016 Texas Place,Rio de Janeiro,BR,2021-01-04,2021-06-03,680
16,Price-Hand,4 Portage Crossing,Brasilia,BR,2021-01-04,2021-08-23,632
17,"Bergstrom, Kunze and Roberts",72 Spenser Place,Brasilia,BR,2021-01-04,2021-08-31,191
18,Brown LLC,4 Dwight Court,Brasilia,BR,2021-01-04,2021-04-07,451
19,"Paucek, Wolf and Wyman",0375 Oriole Avenue,São Paulo,BR,2021-01-05,2021-07-14,410
20,Effertz Group,0 Park Meadow Way,Rio de Janeiro,BR,2021-01-05,2021-03-28,776
21,Connelly-Renner,535 Northview Parkway,Porto Alegre,BR,2021-01-05,2021-07-18,392
22,Stamm-Raynor,74458 Mariners Cove Street,Fortaleza,BR,2021-01-05,2021-08-18,356
23,Stehr and Sons,0748 Harbort Crossing,Porto Alegre,BR,2021-01-05,2021-08-18,113
24,"Pollich, Huels and Bailey",33886 Erie Drive,Florianópolis,BR,2021-01-05,2021-06-16,575
25,Jakubowski-Leffler,53871 Stone Corner Crossing,São Paulo,BR,2021-01-06,2021-02-28,472
26,"Rice, Schimmel and Sawayn",857 Brickson Park Drive,Brasilia,BR,2021-01-06,2021-07-22,519
27,Heaney and Sons,94538 Delladonna Place,São Paulo,BR,2021-01-06,2021-05-18,332
28,"Hauck, Boehm and Stroman",8074 Lien Circle,Rio de Janeiro,BR,2021-01-07,2021-02-27,254
29,Howe Inc,76 Northridge Point,Rio de Janeiro,BR,2021-01-07,2021-09-20,477
30,"Nicolas, Schulist and Langworth",724 Farmco Lane,Fortaleza,BR,2021-01-07,2021-06-27,656
31,Prosacco Inc,21743 Emmet Way,Brasilia,BR,2021-01-08,2021-09-01,411
32,"Gislason, Torp and Gerhold",796 Clemons Plaza,Florianópolis,BR,2021-01-08,2021-02-26,745
33,Gulgowski-Klocko,61 Mesta Point,Fortaleza,BR,2021-01-08,2021-06-12,74
34,Sauer LLC,90918 Del Mar Alley,Fortaleza,BR,2021-01-08,2021-07-29,746
35,"Sporer, Terry and Lowe",77068 Sheridan Circle,Porto Alegre,BR,2021-01-08,2021-02-28,722
36,Yundt-Gleichner,2 Graedel Terrace,Florianópolis,BR,2021-01-09,2021-08-31,290
37,Johnson and Sons,449 Bluejay Center,Brasilia,BR,2021-01-09,2021-11-02,242
38,Dickens-O'Reilly,2005 Mockingbird Drive,Porto Alegre,BR,2021-01-09,2021-09-04,566
39,"Predovic, Tromp and Keeling",4794 Anhalt Place,Porto Alegre,BR,2021-01-09,2021-05-17,92
40,Klein-Kuhn,2 Pennsylvania Point,Porto Alegre,BR,2021-01-10,2021-10-13,352
41,King-Sanford,96942 Messerschmidt Center,Santos,BR,2021-01-10,2021-04-11,279
42,"Williamson, Schowalter and Marks",9 Dottie Hill,Fortaleza,BR,2021-01-10,2021-10-01,511
43,Stark LLC,8 Clemons Place,Porto Alegre,BR,2021-01-10,2021-09-17,493
44,Carter and Sons,01771 Warrior Junction,Florianópolis,BR,2021-01-11,2021-06-04,508
45,Koepp-Blanda,8888 Linden Drive,Rio de Janeiro,BR,2021-01-12,2021-02-13,645
46,Mante and Sons,91 Westend Trail,Porto Alegre,BR,2021-01-12,2021-03-05,657
47,"Schoen, McCullough and Keeling",68234 Warrior Point,Santos,BR,2021-01-13,2021-07-22,726
48,"Dibbert, Mertz and Jast",6387 Havey Street,Rio de Janeiro,BR,2021-01-13,2021-04-09,75
49,Schoen Group,513 Annamark Lane,Rio de Janeiro,BR,2021-01-13,2021-10-16,795
50,Turner and Sons,14654 Michigan Junction,Florianópolis,BR,2021-01-13,2021-08-02,164
51,Nicolas and Sons,75 Anhalt Court,Fortaleza,BR,2021-01-14,2021-03-17,116
52,Stamm and Sons,48642 Manufacturers Way,Florianópolis,BR,2021-01-14,2021-09-23,715
53,Friesen-Rutherford,4 Chive Alley,Santos,BR,2021-01-15,2021-07-06,249
54,Hilll Inc,574 Ruskin Parkway,Brasilia,BR,2021-01-15,2021-03-17,349
55,"Aufderhar, Kreiger and Brekke",10 Pepper Wood Circle,São Paulo,BR,2021-01-15,2021-05-20,18
56,Hermiston-Orn,1539 East Alley,São Paulo,BR,2021-01-15,2021-11-12,386
57,"Hills, Welch and Bernier",16 Superior Pass,Brasilia,BR,2021-01-16,2021-05-29,579
58,"Moore, Kris and Deckow",06 Summerview Point,Fortaleza,BR,2021-01-16,2021-07-12,105
59,Herzog Group,7796 Norway Maple Crossing,Santos,BR,2021-01-16,2021-10-03,673
60,Quigley-Murazik,40711 Coolidge Park,São Paulo,BR,2021-01-17,2021-04-08,583
61,Carter-Bailey,82 Heffernan Point,Florianópolis,BR,2021-01-17,2021-09-26,157
62,Turcotte-Collins,51548 Sachtjen Hill,Fortaleza,BR,2021-01-17,2021-05-03,747
63,"Kessler, Moore and Windler",3 Scoville Court,São Paulo,BR,2021-01-17,2021-09-13,429
64,Wisozk Inc,31551 Hazelcrest Alley,Rio de Janeiro,BR,2021-01-17,2021-08-13,228
65,Mann Group,71179 Bartelt Lane,Rio de Janeiro,BR,2021-01-17,2021-04-03,497
66,"Kris, Jerde and Kassulke",37 Walton Lane,Porto Alegre,BR,2021-01-18,2021-02-24,91
67,Jast and Sons,3 Myrtle Terrace,Rio de Janeiro,BR,2021-01-18,2021-09-03,645
68,Ferry-Veum,5 Stuart Park,Florianópolis,BR,2021-01-18,2021-04-27,236
69,"O'Reilly, Stracke and Mueller",808 Cordelia Hill,São Paulo,BR,2021-01-18,2021-05-05,454
70,Monahan Group,07 Ridge Oak Hill,Porto Alegre,BR,2021-01-18,2021-06-02,531
71,Dibbert-Schaden,960 Vernon Way,Rio de Janeiro,BR,2021-01-19,2021-09-21,217
72,"Ernser, Sanford and Graham",82698 Prairie Rose Circle,São Paulo,BR,2021-01-19,2021-07-18,206
73,Kemmer Inc,80838 Farragut Lane,Fortaleza,BR,2021-01-20,2021-04-30,402
74,"Bergnaum, Batz and Bednar",76 Hoard Crossing,Santos,BR,2021-01-20,2021-09-04,342
75,"Dooley, Reichel and Jacobson",5 Grasskamp Trail,Florianópolis,BR,2021-01-20,2021-10-03,463
76,"Ernser, Ward and Spencer",2 Mifflin Alley,Rio de Janeiro,BR,2021-01-20,2021-11-08,227
77,"Halvorson, Bergnaum and Thompson",08862 Maple Wood Place,Brasilia,BR,2021-01-20,2021-03-08,531
78,"Rohan, Hagenes and McGlynn",0151 Oneill Hill,Porto Alegre,BR,2021-01-21,2021-04-01,101
79,McClure Inc,85069 Westend Hill,São Paulo,BR,2021-01-21,2021-03-19,214
80,Bogan LLC,7 Moulton Pass,Brasilia,BR,2021-01-21,2021-04-04,532
81,Stracke-Bradtke,2106 Bellgrove Pass,Florianópolis,BR,2021-01-21,2021-08-19,257
82,Howell Inc,09375 Logan Hill,Florianópolis,BR,2021-01-22,2021-07-21,651
83,Pacocha and Sons,9 Jenifer Way,Florianópolis,BR,2021-01-22,2021-11-03,651
84,Ullrich and Sons,21851 Sundown Circle,Fortaleza,BR,2021-01-23,2021-05-21,448
85,Gerhold Inc,3984 Cottonwood Road,Rio de Janeiro,BR,2021-01-23,2021-05-07,691
86,"Jacobs, Hamill and Murray",102 Westerfield Court,São Paulo,BR,2021-01-23,2021-03-31,209
87,Wisoky LLC,9 Lawn Parkway,Fortaleza,BR,2021-01-23,2021-03-06,268
88,Mills Inc,51 Commercial Street,Brasilia,BR,2021-01-23,2021-06-15,16
89,Cole Inc,2 Surrey Plaza,Florianópolis,BR,2021-01-24,2021-08-27,158
90,"Heidenreich, Aufderhar and Crooks",5 American Ash Drive,Florianópolis,BR,2021-01-24,2021-07-02,758
91,Veum-Glover,5305 Mcguire Street,Fortaleza,BR,2021-01-24,2021-07-19,319
92,Kassulke-Reilly,096 Dawn Lane,São Paulo,BR,2021-01-24,2021-06-02,727
93,Moen LLC,51 Judy Trail,Rio de Janeiro,BR,2021-01-24,2021-11-01,586
94,"Krajcik, Muller and Feeney",154 Scoville Pass,São Paulo,BR,2021-01-25,2021-07-08,88
95,"Bailey, Treutel and Trantow",5 Center Pass,Brasilia,BR,2021-01-26,2021-02-28,540
96,Anderson-Leuschke,678 Springview Park,Brasilia,BR,2021-01-27,2021-04-14,554
97,Hegmann-Hane,35771 Muir Road,São Paulo,BR,2021-01-27,2021-06-14,486
98,Bogisich Group,43880 Daystar Trail,Rio de Janeiro,BR,2021-01-28,2021-06-22,126
99,MacGyver and Sons,41 Spaight Park,Florianópolis,BR,2021-01-28,2021-09-22,301
100,Schuppe Inc,8504 Arapahoe Lane,Fortaleza,BR,2021-01-29,2021-07-01,250
101,Predovic-Rice,5396 Blaine Parkway,Florianópolis,BR,2021-01-29,2021-07-09,582
102,Nikolaus-McDermott,447 Fulton Hill,Florianópolis,BR,2021-01-30,2021-04-27,214
103,Klein Group,1546 Ryan Crossing,Santos,BR,2021-01-30,2021-08-01,242
104,Frami LLC,46910 Columbus Junction,Fortaleza,BR,2021-01-30,2021-06-06,586
105,McDermott Inc,4574 Hintze Point,Rio de Janeiro,BR,2021-01-31,2021-05-28,63
106,Gleason Inc,2450 Di Loreto Parkway,Porto Alegre,BR,2021-01-31,2021-07-23,17
107,Torp-Nolan,272 Brentwood Way,Fortaleza,BR,2021-01-31,2021-03-12,323
108,Gerhold-Gleason,09079 Magdeline Center,Porto Alegre,BR,2021-01-31,2021-09-09,448
109,McGlynn-Skiles,6 Longview Trail,Porto Alegre,BR,2021-02-01,2021-07-06,586
110,"Collins, Prosacco and Simonis",54364 Rockefeller Crossing,Brasilia,BR,2021-02-01,2021-09-11,402
111,Bashirian Group,387 Prairie Rose Junction,Santos,BR,2021-02-02,2021-08-13,773
112,Simonis-Mayer,82012 Saint Paul Road,Florianópolis,BR,2021-02-02,2021-05-06,758
113,Nitzsche-Kovacek,89 Almo Alley,Santos,BR,2021-02-03,2021-09-05,472
114,Grimes-Bins,3 Loftsgordon Junction,Porto Alegre,BR,2021-02-03,2021-04-05,131
115,Olson-Collier,54 Lotheville Avenue,Florianópolis,BR,2021-02-03,2021-11-16,241
116,Glover-Steuber,96 Killdeer Drive,Fortaleza,BR,2021-02-03,2021-07-20,604
117,Anderson-Paucek,2914 Dwight Court,Brasilia,BR,2021-02-04,2021-11-01,63
118,"Lind, Armstrong and Labadie",5 Quincy Avenue,Porto Alegre,BR,2021-02-04,2021-10-08,294
119,"Bergnaum, Harber and Boyle",00308 Kedzie Point,Santos,BR,2021-02-04,2021-08-25,545
120,Wolf Group,43025 Ronald Regan Plaza,Porto Alegre,BR,2021-02-04,2021-08-10,379
121,"Rutherford, Hodkiewicz and Huel",04 Luster Park,Florianópolis,BR,2021-02-04,2021-08-08,350
122,Boehm and Sons,8 Green Ridge Park,Santos,BR,2021-02-05,2021-03-10,540
123,Crona Inc,0 Messerschmidt Avenue,Fortaleza,BR,2021-02-05,2021-05-24,102
124,"Crist, Kling and Hyatt",54 Reinke Hill,Florianópolis,BR,2021-02-05,2021-12-07,99
125,"Moore, Farrell and Jaskolski",084 Crescent Oaks Lane,Rio de Janeiro,BR,2021-02-06,2021-07-01,374
126,Kshlerin and Sons,241 Marquette Center,Brasilia,BR,2021-02-07,2021-09-17,531
127,"Wintheiser, Maggio and Kuhlman",044 Harper Alley,São Paulo,BR,2021-02-08,2021-09-09,313
128,Upton-Bernier,973 Autumn Leaf Trail,São Paulo,BR,2021-02-08,2021-05-27,470
129,Runte-Watsica,31 Mayer Place,Santos,BR,2021-02-08,2021-09-26,395
130,"Ernser, Zulauf and Nader",15 Briar Crest Avenue,Brasilia,BR,2021-02-09,2021-03-23,219
