id,hotel_name,address,city,country,registration_date,latest_booking,total_bookings,registration_id
1,Altenwerth-Wilderman,55 Buhler Place,São Paulo,BR,2021-01-01,2021-05-05,74,439781659462
2,Mayer LLC,78279 Brown Crossing,Santos,BR,2021-01-01,2021-06-21,329,686594413636
3,Durgan-Ullrich,5 Independence Place,Fortaleza,BR,2021-01-01,2021-02-24,352,916600154620
4,Johnston-Osinski,8230 Warbler Plaza,Fortaleza,BR,2021-01-01,2021-08-23,572,343118084017
5,"Simonis, Grimes and Okuneva",48 Dahle Terrace,Brasilia,BR,2021-01-01,2021-09-19,547,598986938353
6,Koss and Sons,7486 Grover Road,Porto Alegre,BR,2021-01-02,2021-06-06,353,166286316559
7,Nitzsche Inc,11432 Westport Center,Fortaleza,BR,2021-01-02,2021-08-25,585,929930403364
8,Funk Group,2 Crescent Oaks Street,Rio de Janeiro,BR,2021-01-02,2021-06-27,70,863986119299
9,Skiles-Feil,418 Luster Street,Brasilia,BR,2021-01-03,2021-09-07,570,402349901939
10,Feeney-Tillman,42135 Di Loreto Crossing,Porto Alegre,BR,2021-01-03,2021-09-20,142,509930155842
11,"Dickens, Ullrich and Stracke",1123 Arkansas Plaza,Rio de Janeiro,BR,2021-01-03,2021-02-27,676,676576839003
12,Satterfield-Hand,461 Mesta Parkway,Florianópolis,BR,2021-01-04,2021-03-21,721,204936442217
13,Smith-West,5 Logan Center,Porto Alegre,BR,2021-01-04,2021-07-25,214,541486358072
14,Kihn-Harber,92261 Randy Road,Fortaleza,BR,2021-01-04,2021-11-01,549,831067040498
15,Grady-Macejkovic,5016 Texas Place,Rio de Janeiro,BR,2021-01-04,2021-06-03,680,883614375564
16,Price-Hand,4 Portage Crossing,Brasilia,BR,2021-01-04,2021-08-23,632,887814297287
17,"Bergstrom, Kunze and Roberts",72 Spenser Place,Brasilia,BR,2021-01-04,2021-08-31,191,757526033183
18,Brown LLC,4 Dwight Court,Brasilia,BR,2021-01-04,2021-04-07,451,153333854360
19,"Paucek, Wolf and Wyman",0375 Oriole Avenue,São Paulo,BR,2021-01-05,2021-07-14,410,215079462257
20,Effertz Group,0 Park Meadow Way,Rio de Janeiro,BR,2021-01-05,2021-03-28,776,624978420964
21,Connelly-Renner,535 Northview Parkway,Porto Alegre,BR,2021-01-05,2021-07-18,392,322448259776
22,Stamm-Raynor,74458 Mariners Cove Street,Fortaleza,BR,2021-01-05,2021-08-18,356,664985122173
23,Stehr and Sons,0748 Harbort Crossing,Porto Alegre,BR,2021-01-05,2021-08-18,113,724183044560
24,"Pollich, Huels and Bailey",33886 Erie Drive,Florianópolis,BR,2021-01-05,2021-06-16,575,369289732376
25,Jakubowski-Leffler,53871 Stone Corner Crossing,São Paulo,BR,2021-01-06,2021-02-28,472,502254813500
26,"Rice, Schimmel and Sawayn",857 Brickson Park Drive,Brasilia,BR,2021-01-06,2021-07-22,519,734528870070
27,Heaney and Sons,94538 Delladonna Place,São Paulo,BR,2021-01-06,2021-05-18,332,913553802317
28,"Hauck, Boehm and Stroman",8074 Lien Circle,Rio de Janeiro,BR,2021-01-07,2021-02-27,254,850750137156
29,Howe Inc,76 Northridge Point,Rio de Janeiro,BR,2021-01-07,2021-09-20,477,498124986964
30,"Nicolas, Schulist and Langworth",724 Farmco Lane,Fortaleza,BR,2021-01-07,2021-06-27,656,652237357949
31,Prosacco Inc,21743 Emmet Way,Brasilia,BR,2021-01-08,2021-09-01,411,932381427198
