Id,Hotel Name,Address,City State,Registration Date,Last Booking,Total Bookings,Registration Id
1,Smith-West,5 Logan Center,Porto Alegre - RS,2019-05-15,2021-04-12,204,541486358072
2,Skiles-Feil,418 Luster Street,Brasilia - DF,2019-05-28,2021-09-27,673,402349901939
3,"Hills, Welch and Bernier",16 Superior Pass,Brasilia - DF,2019-06-02,2021-04-29,540,270040626150
4,Feeney-Tillman,42135 Di Loreto Crossing,Porto Alegre - RS,2019-06-17,2021-09-29,316,509930155842
5,Nitzsche Inc,11432 Westport Center,Fortaleza - CE,2019-06-21,2021-05-24,623,929930403364
6,Okuneva-Schmidt,4711 South Place,Fortaleza - CE,2019-06-26,2021-04-25,940,506149389766
7,"Mohr, Nader and Rosenbaum",6398 Dovetail Court,Florianópolis - SC,2019-07-06,2021-05-18,196,380645351114
8,"Mueller, Thiel and MacGyver",223 Golden Leaf Lane,Fortaleza - CE,2019-07-07,2021-08-08,281,239902915895
9,Koepp-Blanda,8888 Linden Drive,Rio de Janeiro - RJ,2019-07-14,2020-12-18,694,560117164913
10,"Rutherford, Miller and Schuster",89 Schmedeman Terrace,São Paulo - SP,2019-07-19,2021-10-24,514,566696961688
11,Altenwerth-Wilderman,55 Buhler Place,São Paulo - SP,2019-07-22,2020-12-24,146,439781659462
12,Weber Group,31 2nd Trail,Florianópolis - SC,2019-07-22,2021-07-15,612,704905425488
13,Barton-Reichel,5982 Milwaukee Parkway,Santos - SP,2019-08-06,2021-05-21,631,669482693228
14,Wehner LLC,2 Brentwood Way,São Paulo - SP,2019-08-07,2021-08-09,451,616013504915
15,"Cassin, Dietrich and Zboncak",2 Nobel Road,Santos - SP,2019-08-11,2021-09-06,582,844568421207
16,Ondricka-Durgan,2 Delladonna Street,Porto Alegre - RS,2019-08-11,2021-03-21,655,344285182071
17,Jerde LLC,79 Mayer Trail,Florianópolis - SC,2019-08-12,2021-06-19,157,502473597365
18,"Heidenreich, Aufderhar and Crooks",5 American Ash Drive,Florianópolis - SC,2019-08-16,2021-05-11,935,489706489423
19,"Batz, Ankunding and Mohr",329 Lighthouse Bay Place,Florianópolis - SC,2019-08-26,2021-06-06,777,415434291715
20,Carter-Bailey,82 Heffernan Point,Florianópolis - SC,2019-08-28,2021-08-03,189,189512601658
21,Turner-McCullough,72740 Texas Parkway,São Paulo - SP,2019-09-06,2021-03-08,917,190972026088
22,"Mitchell, Quigley and Turcotte",8470 Jenifer Plaza,Florianópolis - SC,2019-09-09,2021-08-14,405,478459332783
23,Gleason Inc,2450 Di Loreto Parkway,Porto Alegre - RS,2019-09-10,2021-08-16,149,269279986514
24,"Rohan, Hagenes and McGlynn",0151 Oneill Hill,Porto Alegre - RS,2019-09-12,2020-12-18,214,231546404596
25,"Lehner, Lubowitz and Gaylord",8 Dawn Parkway,Rio de Janeiro - RJ,2019-09-13,2021-06-16,617,203020071845
26,Schmitt Group,15 Delladonna Lane,Porto Alegre - RS,2019-09-17,2021-08-18,450,229513936830
27,Gutkowski and Sons,0127 Coolidge Street,Florianópolis - SC,2019-09-23,2021-08-12,553,600331814713
28,Beer Group,6 Armistice Point,Porto Alegre - RS,2019-09-24,2021-10-16,246,834315366507
29,Kiehn LLC,491 Northport Alley,Florianópolis - SC,2019-09-27,2021-05-02,464,154195605639
30,Krajcik-Beatty,592 Walton Crossing,Porto Alegre - RS,2019-09-28,2021-07-28,674,407702904259
31,Feil and Sons,97962 Clarendon Junction,Brasilia - DF,2019-09-29,2021-12-23,766,561754676682
32,Ruecker Inc,8 Bluestem Avenue,São Paulo - SP,2019-10-01,2021-05-04,460,853933578789
33,Beahan and Sons,66594 Lindbergh Hill,Florianópolis - SC,2019-10-03,2021-05-06,644,397421157908
34,Vandervort LLC,064 Briar Crest Point,Santos - SP,2019-10-03,2021-07-04,317,434967522809
35,Pagac-Rohan,93 Fulton Trail,São Paulo - SP,2019-10-03,2021-10-02,734,245144473167
36,Walter-Schuster,23266 Sunbrook Circle,Florianópolis - SC,2019-10-03,2021-07-15,673,511178500143
37,"Krajcik, Muller and Feeney",154 Scoville Pass,São Paulo - SP,2019-10-05,2021-07-01,220,857547738246
38,Hermiston and Sons,16 American Place,Porto Alegre - RS,2019-10-05,2021-08-11,355,483334869533
39,Koelpin-Heller,4619 Village Point,Porto Alegre - RS,2019-10-06,2021-05-25,103,227646774420
40,Mayer LLC,78279 Brown Crossing,Santos - SP,2019-10-07,2021-08-03,348,686594413636
41,"Waelchi, Stracke and Leffler",58562 Grasskamp Court,Florianópolis - SC,2019-10-09,2021-08-19,808,305212318064
42,"Bergnaum, Batz and Bednar",76 Hoard Crossing,Santos - SP,2019-10-09,2021-08-04,517,928959907376
43,"Carter, Botsford and Boehm",55301 Vahlen Park,São Paulo - SP,2019-10-10,2021-03-02,852,571769445898
44,Mitchell-Kuhn,9 Clarendon Center,Rio de Janeiro - RJ,2019-10-19,2021-09-13,211,661968039958
45,"Gislason, Torp and Gerhold",796 Clemons Plaza,Florianópolis - SC,2019-10-19,2020-12-10,786,634398324497
46,"Pfeffer, Nicolas and Fahey",21 Lakewood Gardens Drive,Fortaleza - CE,2019-10-21,2021-10-07,678,634826631148
47,Anderson-Paucek,2914 Dwight Court,Brasilia - DF,2019-10-26,2021-09-06,203,636940654233
48,Rogahn and Sons,10305 Division Drive,Santos - SP,2019-10-28,2021-09-06,0,464623721837
49,Veum-Glover,5305 Mcguire Street,Fortaleza - CE,2019-10-31,2021-03-06,274,201237992944
50,Renner-Johns,50929 Butterfield Plaza,Santos - SP,2019-11-07,2021-08-25,307,802482215575
51,"Bechtelar, Willms and Kuhlman",944 Melby Circle,Rio de Janeiro - RJ,2019-11-08,2021-08-19,320,598798355459
52,"Considine, Strosin and Waters",3 Oxford Court,Florianópolis - SC,2019-11-10,2021-01-21,918,256282565795
53,"Luettgen, Reichert and Keeling",56680 Clyde Gallagher Parkway,Rio de Janeiro - RJ,2019-11-13,2021-08-15,209,217961495161
54,Bergnaum LLC,3793 Michigan Point,Santos - SP,2019-11-13,2021-10-20,280,265367644268
55,Pfeffer-Williamson,85439 Kennedy Avenue,Brasilia - DF,2019-11-19,2021-12-16,226,417590847627
56,"Hegmann, Hessel and Gutkowski",52 Loeprich Plaza,São Paulo - SP,2019-11-19,2021-09-05,890,651626222418
57,"Medhurst, Kohler and Crooks",8900 Prairieview Trail,Brasilia - DF,2019-11-22,2021-07-06,491,470028043051
58,Kemmer Inc,80838 Farragut Lane,Fortaleza - CE,2019-11-24,2021-06-15,473,282298024949
59,Steuber LLC,449 Corscot Circle,Fortaleza - CE,2019-11-24,2021-12-20,383,581823124615
60,"Hane, Ernser and O'Hara",933 High Crossing Drive,Santos - SP,2019-11-25,2021-10-11,689,305503857897
61,Koss and Sons,7486 Grover Road,Porto Alegre - RS,2019-11-27,2021-03-20,439,166286316559
62,Volkman-Kuhic,47073 Nova Terrace,Fortaleza - CE,2019-11-28,2021-12-21,68,607341760115
63,"Reinger, Feest and Bernhard",07182 Carpenter Terrace,São Paulo - SP,2019-11-29,2022-01-13,284,606446821591
64,"Homenick, Glover and Macejkovic",42 Crownhardt Park,Rio de Janeiro - RJ,2019-12-01,2021-06-27,530,702257913684
65,"Dietrich, Rempel and Ledner",453 7th Alley,Rio de Janeiro - RJ,2019-12-03,2021-09-03,474,568290284499
66,Grimes Inc,97 Leroy Plaza,Fortaleza - CE,2019-12-05,2021-12-11,188,893481236910
67,Mraz LLC,350 Washington Park,Rio de Janeiro - RJ,2019-12-13,2021-07-30,163,798648368453
68,"Stokes, Ernser and Hahn",88 Sachtjen Court,Santos - SP,2019-12-15,2021-08-18,622,796051555197
69,Nikolaus Group,000 Crest Line Alley,Porto Alegre - RS,2019-12-16,2022-01-03,296,739415518711
70,"Roberts, Herzog and Nolan",679 Village Green Crossing,Santos - SP,2019-12-17,2021-10-20,271,807143384673
71,Brekke Group,65805 Susan Parkway,Porto Alegre - RS,2019-12-17,2021-09-06,108,568615027820
72,"Dickens, Metz and Koelpin",0791 Farragut Terrace,Porto Alegre - RS,2019-12-17,2021-11-16,859,490142531549
